Class,Feature,B (β),SE,Wald χ²,p-value,CI Lower (95%),CI Upper (95%)
Progressive house,Zerocr,0.17733924931735182,0.3703982720799618,0.2292301969115175,0.6320952142173974,-0.5486413639593734,0.9033198625940769
Progressive house,Mfcc1,0.6856831481878977,0.30692557275602794,4.9909222258270445,0.02548062526711052,0.08410902558608291,1.2872572707897123
Progressive house,Mfcc2,-0.4617265008475716,0.2263302266021976,4.161831441163366,0.04134467624039957,-0.9053337449878789,-0.01811925670726433
Progressive house,Mfcc3,0.06277327267563049,0.16138385465854121,0.1512966714070611,0.6972992797402418,-0.2535390824551103,0.3790856278063713
Progressive house,Mfcc4,0.14995640115519496,0.13338903559339285,1.2638331803741476,0.2609267670678943,-0.11148610860785504,0.411398910918245
Progressive house,Mfcc5,-0.03450222594743129,0.09677143785785554,0.1271158898338026,0.7214413279372183,-0.22417424414882814,0.15516979225396554
Progressive house,Bpm,-0.31882142972398436,0.055105750986808685,33.47350266272691,7.224150631529732e-09,-0.42682870165812936,-0.21081415778983933
Progressive house,Onset rate,0.18480510372395817,0.06464565690498138,8.172392486369315,0.004253276794518245,0.058099616190194686,0.3115105912577216
Progressive house,Chords changes rate,-0.5102615777457997,0.07982226539503207,40.8636952646758,1.6322537475336303e-10,-0.6667132179200626,-0.3538099375715369
Progressive house,Chords number rate,0.056811604277495834,0.06984886093569201,0.6615389965158223,0.4160171448852057,-0.08009216315646049,0.19371537171145214
Progressive house,Key scale,0.0930222294123689,0.049468497111351144,3.536030927147963,0.06004899330586117,-0.003936024925879342,0.18998048375061716
Progressive house,Pulse clarity low,-0.30450459136188207,0.1446041697393063,4.434310072684433,0.03522345319218814,-0.5879287640509223,-0.021080418672841772
Progressive house,Pulse clarity middle,-0.30747921638990017,0.08936447156946606,11.838638189537408,0.0005801423787944699,-0.48263358066605366,-0.1323248521137467
Progressive house,Pulse clarity high,-0.16503993298043423,0.1342226399978687,1.5119120346496229,0.21884755852734392,-0.4281163073762569,0.09803644141538842
Progressive house,Attack slope low,-0.14961175192747064,0.0912769774942516,2.686636531320626,0.10119321500176547,-0.3285146278162038,0.02929112396126249
Progressive house,Attack slope middle,0.49823220686886666,0.17834478247530006,7.804458558718263,0.00521174797993391,0.14867643321727853,0.8477879805204548
Progressive house,Attack slope high,-0.3213899544425134,0.1856261163501097,2.9976880671622137,0.08338342647219721,-0.6852171424887283,0.04243723360370161
Progressive house,Spectral flatness low,-0.7271215725037627,0.31292858141490165,5.399127663302519,0.020146818884536545,-1.34046159207697,-0.11378155293055547
Progressive house,Spectral flatness middle,0.19235911516120613,0.1702299057121,1.276890994881152,0.2584779034676866,-0.14129150003450985,0.5260097303569221
Progressive house,Spectral flatness high,0.041701664508016455,0.09183191243204859,0.2062146534107097,0.6497506377097224,-0.13828888385879878,0.2216922128748317
Progressive house,Attack time low,-0.3085894305032998,0.11916376780058938,6.7061558287576375,0.009608063081102482,-0.542150415392455,-0.07502844561414462
Progressive house,Attack time middle,0.13650228525914349,0.1215485841613944,1.2611885974680956,0.2614262251798325,-0.10173293969718952,0.3747375102154765
Progressive house,Attack time high,0.017603168959987786,0.0682355078809582,0.06655196121401151,0.7964249141601456,-0.11613842648669029,0.15134476440666586
Progressive house,Spectral flux low,-0.28390790351524564,0.11037104621710782,6.616748793513515,0.010102408793226334,-0.500235154100777,-0.06758065292971432
Progressive house,Spectral flux middle,-0.7527396950692248,0.2026374885668449,13.799077347071579,0.0002034361112444155,-1.1499091726602408,-0.35557021747820877
Progressive house,Spectral flux high,0.4144544737380308,0.22982485831945654,3.2520683269011963,0.07133339078784608,-0.03600224856810402,0.8649111960441656
