Class,Feature,B (β),SE,Wald χ²,p-value
Progressive house,Spectral flux low,-0.2711020735697673,0.9845179381537799,0.07582604630423449,0.783035603503083
Progressive house,Spectral flux middle,-0.4325301831742054,2.001711532548118,0.04669064309060093,0.828925250824636
Progressive house,Spectral flux high,0.260869849898442,2.3619654402026353,0.012198339012594659,0.9120556013722114
Progressive house,Bpm,-0.4443706244342263,0.8261764973531617,0.2892977200757639,0.5906709195640959
Dubstep,Loudness,-0.01557018772577153,1.1027344540143447,0.00019936357353224563,0.9887345502147143
Dubstep,Dissonance,-0.45313158140941473,2.5953082707547344,0.030483916407662376,0.8613967471063025
Dubstep,Dynamic complexity,0.39067327619354025,2.471007733251487,0.02499649981400552,0.8743757832031138
Dubstep,Pitch salience,0.23868650581670042,7.593170840561723,0.0009881193203994758,0.9749231351568789
Dubstep,Spectral centroid,0.4380537388582816,2.22695468442994,0.03869296613939117,0.844058180051098
Dubstep,Spectral complexity,0.31131736521307873,6.305323143603507,0.0024377658837453392,0.9606214576405656
Dubstep,Spectral decrease,0.21905301713818384,5.109640789590238,0.0018378824830798124,0.9658047394902619
Dubstep,Spectral energyband high,-0.15018089255179196,22.413421942460197,4.4896556052221295e-05,0.9946538230899501
Dubstep,Spectral energyband low,-0.04872428499995091,3.962801493792538,0.00015117720564208987,0.9901899261710986
Dubstep,Spectral energyband middle,-0.14356965731816856,22.640897254206422,4.0210369121497585e-05,0.9949405165353675
Dubstep,Spectral entropy,-0.09871201267657351,8.297285820735716,0.00014153632423095287,0.9905078679097414
Dubstep,Spectral kurtosis,-0.16059543418709274,4.771499813844573,0.0011328086728823882,0.9731504905788234
Dubstep,Spectral rolloff,0.16036988583307996,9.239117876465803,0.0003012899351657204,0.9861512503051693
Dubstep,Spectral skewness,-0.02595190811379394,8.36940960709177,9.614992357204128e-06,0.9975259194379099
Dubstep,Spectral spread,-0.3327595854460144,6.1770796181816054,0.0029019822444545248,0.9570386989567867
Dubstep,Zerocr,0.05339421853161082,9.737972918395403,3.0064317167108585e-05,0.9956251460656457
Dubstep,Mfcc1,-0.20970658833234618,7.970694562799805,0.0006922003510157782,0.9790103175495855
Dubstep,Mfcc2,-0.12010215140140645,5.414756397993429,0.0004919757855127434,0.9823039508375734
Dubstep,Mfcc3,-0.38150632994021844,4.035505820840891,0.00893732477554806,0.9246822544947941
Dubstep,Mfcc4,0.19324209396722125,2.657973763581932,0.005285694886464465,0.9420426326370325
Dubstep,Mfcc5,0.050193977712187116,2.164028944310534,0.0005379935841281677,0.9814949752685157
Dubstep,Onset rate,-0.7341081043982197,1.963109709233409,0.13983983253720303,0.7084402923427915
Dubstep,Chords changes rate,0.13757301466481509,1.460037498675282,0.008878477290561623,0.9249298920744092
Dubstep,Chords number rate,0.48102042668143036,1.6279512628602646,0.08730603003481259,0.7676303307933774
Dubstep,Key scale,-0.1350979439563633,1.1529017245918636,0.013731339390057546,0.9067167831545644
Dubstep,Pulse clarity low,0.5789429338180441,3.054659397941965,0.03592079421687057,0.8496791536983951
Dubstep,Pulse clarity middle,-0.06183146362843399,1.858333073645462,0.0011070619933308348,0.9734572506345356
Dubstep,Pulse clarity high,-0.12527541568338676,2.954749647260932,0.001797588686092156,0.9661814388362329
Dubstep,Attack slope low,-0.14723032496515512,1.7308303073255171,0.007235783415405154,0.9322109808544594
Dubstep,Attack slope middle,0.1581506229948099,3.9244164299647957,0.0016240210105767491,0.9678546361811778
Dubstep,Attack slope high,0.24957315848564457,3.7161642599202533,0.004510305363929288,0.9464552782652744
Dubstep,Spectral flatness low,0.491288190173935,4.852379653140102,0.010250926107577852,0.9193545010707945
Dubstep,Spectral flatness middle,0.36366261742820827,4.679773109409053,0.006038759382195278,0.938059172922891
Dubstep,Spectral flatness high,0.09280921355408865,1.634356404213112,0.003224695019397841,0.9547153491255344
Dubstep,Attack time low,0.6004051279161913,1.8931404254713533,0.10058266234241425,0.751131533748826
Dubstep,Attack time middle,0.2364322009626075,2.7523096845468937,0.007379359250199528,0.9315433700907432
Dubstep,Attack time high,0.290166699065205,1.3038257840187124,0.04952859495660728,0.8238855929589614
Dubstep,Spectral flux low,-0.4399465946154753,2.0103528736240035,0.04789115716321106,0.8267743099563607
Dubstep,Spectral flux middle,0.44897274610331717,4.445414038872499,0.010200360585169821,0.9195529730074855
Dubstep,Spectral flux high,0.28431407525782915,4.6275151798511125,0.0037748614543215977,0.9510088758369608
Dubstep,Bpm,-1.8747851308743415,1.3533075963162158,1.9191546016789984,0.16594988649057513
